leaf_code,category_path,l1
02.002.001.004,安防 / 化学品存储及泄露处理 / 化学品储存 / 安全容器,安防
02.002.001.005,安防 / 化学品存储及泄露处理 / 化学品储存 / 防化垃圾袋,安防
02.002.001.006,安防 / 化学品存储及泄露处理 / 化学品储存 / 钢轨磨耗测量尺,安防
02.002.001.007,安防 / 化学品存储及泄露处理 / 化学品储存 / 轨距尺,安防
02.002.001.008,安防 / 化学品存储及泄露处理 / 化学品储存 / 轨缝尺,安防
02.002.002.001,安防 / 化学品存储及泄露处理 / 化学品泄露防护 / 泄漏应急套件,安防
02.002.002.002,安防 / 化学品存储及泄露处理 / 化学品泄露防护 / 盛漏托盘,安防
02.003.001.001,安防 / 防汛救灾 / 现场警戒 / 警示隔离,安防
02.003.001.002,安防 / 防汛救灾 / 现场警戒 / 警戒其他,安防
02.003.001.003,安防 / 防汛救灾 / 现场警戒 / 喊话器,安防
02.003.001.004,安防 / 防汛救灾 / 现场警戒 / 伸缩折叠围栏,安防
02.003.001.005,安防 / 防汛救灾 / 现场警戒 / 太阳能警示灯,安防
02.003.001.006,安防 / 防汛救灾 / 现场警戒 / 肩灯,安防
02.003.001.007,安防 / 防汛救灾 / 现场警戒 / 警示三角架,安防
02.003.001.008,安防 / 防汛救灾 / 现场警戒 / 警示链/杆,安防
02.003.001.009,安防 / 防汛救灾 / 现场警戒 / 变压器围栏,安防
02.003.001.010,安防 / 防汛救灾 / 现场警戒 / 防暴器材,安防
02.003.001.011,安防 / 防汛救灾 / 现场警戒 / 巡更设备,安防
02.003.001.012,安防 / 防汛救灾 / 现场警戒 / 安全围网,安防
02.003.001.013,安防 / 防汛救灾 / 现场警戒 / 警示警戒带,安防
02.003.001.014,安防 / 防汛救灾 / 现场警戒 / 一米线栏杆,安防
02.003.001.015,安防 / 防汛救灾 / 现场警戒 / 驱鸟器,安防
02.003.001.016,安防 / 防汛救灾 / 现场警戒 / 指挥棒,安防
02.003.001.017,安防 / 防汛救灾 / 现场警戒 / 袖标,安防
02.003.001.018,安防 / 防汛救灾 / 现场警戒 / 安检设备,安防
02.003.001.019,安防 / 防汛救灾 / 现场警戒 / 人体静电释放器,安防
02.003.002.001,安防 / 防汛救灾 / 保暖 / 保温衣物,安防
02.003.002.002,安防 / 防汛救灾 / 保暖 / 棉被,安防
